propertyCode,developer,propertyName,state,area,propertyType,numberOfBedroom,numberOfWashroom,quantityAvailableUnits,propertyPrice,propertySize,propertyFeatures,status,deliveryDate,titleType,buildingPlanApproval,photo1,photo2,photo3,photo4,photo5,photo6,photo7,photo8,photo9,photo10
PTY00001,Terra Developer,Olivia Courts Block D,Lagos,Lekki,Apartment,1,1,1,4500000000,,"Inverter system, 24hrs light, fully fitted kitchen,",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1ILqiw6KB9t10DBd1cpggWQEwnUi-w5tr/view?usp=sharing,https://drive.google.com/file/d/1XmH2OUrTctNd_1sAXc0EZEZ67lERv_84/view?usp=sharing,https://drive.google.com/file/d/1ZcOwG3f83CoAd23kP2vw7TZqxp6jcep5/view?usp=sharing,https://drive.google.com/file/d/1ERU_hxeIBwTbg-M2O4wpPHvSZY7DuH7p/view?usp=sharing,https://drive.google.com/file/d/1RN26-psREudfNbPtpCw1w1-uGEMqCKKJ/view?usp=sharing,,,,,
PTY00008,Terra Developer,Olivia Heights Phase 1 Block 1,Lagos,Lekki,Studio,1,1,61,33900000,,"Inverter system, 24hrs light, fully fitted kitchen,",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1V2_8o0t6vHBkohRH99GKc-ZdYJHXepDR/view?usp=sharing,https://drive.google.com/file/d/1mWxO_Jb36SQuXXKFWJahLOxhmiHt5n8I/view?usp=sharing,https://drive.google.com/file/d/1XKRrMGrPSJ_rWkKImy3ui45499p0G5bH/view?usp=sharing,https://drive.google.com/file/d/1J0Ug_QPtC2eNRpA16CGwc4VMu4Jg6q5i/view?usp=sharing,https://drive.google.com/file/d/1s3GqBHwNkkHtAPpEyUno-Sj8ws2JGu_L/view?usp=sharing,,,,,
PTY00011,Terra Developer,John's Row,Lagos,Ogudu GRA,Apartment,4,4,1,90000000,,"Inverter system, 24hrs light, fully fitted kitchen,",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1fOlSJnqSWM0BBwn-7C0NnxqknAu9rX3U/view?usp=sharing,https://drive.google.com/file/d/1lsAtnUd9P-rY1POZPXxh7-0pSc5FLjRl/view?usp=sharing,https://drive.google.com/file/d/1U1Pis448CJ4vClK8rptF0AbZqLU7xxwX/view?usp=sharing,https://drive.google.com/file/d/1MhsEf269wJECuOPHrvlRHfy0Q4OPrdWG/view?usp=sharing,https://drive.google.com/file/d/1T951YLPS2HMjUUqm-Px-IQ3-9cKqaf26/view?usp=sharing,https://drive.google.com/file/d/1_5iJ7MlG05fMyb-tDynv1AZh5yBmxG8j/view?usp=sharing,,,,
PTY00012,Terra Developer,Ethan's Grove,Lagos,Lakowe,Maisonette,2,2,40,27000000,,"Inverter system, 24hrs light, fully fitted kitchen,",Off Plan,,Yes,Yes,https://drive.google.com/file/d/17dwfkWSFSENIgK16ClxJJRtOl9rR-QEQ/view?usp=sharing,https://drive.google.com/file/d/17dwfkWSFSENIgK16ClxJJRtOl9rR-QEQ/view?usp=sharing,https://drive.google.com/file/d/1Beue6MJGssnsjoBv15uhhdmVODRp7wS6/view?usp=sharing,https://drive.google.com/file/d/1alM9j87qCTK2f4YwqfO2jletUv01ZEi6/view?usp=sharing,https://drive.google.com/file/d/1yyYcg77zUhjMx64uzAvMJyorR613W6Mn/view?usp=sharing,https://drive.google.com/file/d/1QT_bp0_dmhXy5oSlAZ0e_7uZLUUaGK5M/view?usp=sharing,https://drive.google.com/file/d/1dI-LDAAwnMgLEv_XGh-gtk-oV21ELvBu/view?usp=sharing,https://drive.google.com/file/d/15Wme4zwkFEp0TWL4avAJVzIoM6zHZDYV/view?usp=sharing,https://drive.google.com/file/d/1C5t0rWCJOKykxitj9pZlS6QiMLYsCbjx/view?usp=sharing,
PTY00030,G Text Homes,Jasper Gardenia,Lagos,Ibeju Lekki,Terrace,2,2,4,58000000,,"Smart house, Green house, mini park/ playground, gym, fitted kitchen,",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1b918q4RShFEH8xGXIy3gNjQ7c-I0gAfd/view?usp=sharing,https://drive.google.com/file/d/1oQ0gaX1dxMuEObSFWp731c7AsGA2eyo6/view?usp=sharing,https://drive.google.com/file/d/1X8uJyF0vTdUJksU_OBl-T9CXK4LySIVj/view?usp=sharing,https://drive.google.com/file/d/1OuqT7QBOthi1QpDHYvshJNzwz3qTmKi1/view?usp=sharing,https://drive.google.com/file/d/1oQ0gaX1dxMuEObSFWp731c7AsGA2eyo6/view?usp=sharing,,,,,
PTY00035,Tribatat Real Estate,Ambiance Heights II,Lagos,Sangotedo,Terrace Duplex + BQ,2,2,60,45000000,,"Modern elevator, 24hrs power, water supply, stylish design, kids play ground, swimming pool, gym house",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1MDhcZnznMw23qaKRdtQ30O6yIa6KxvvI/view?usp=sharing,https://drive.google.com/file/d/1pcD8Vp-brj2oApNeT-IdEcGSbzlAbSZz/view?usp=sharing,https://drive.google.com/file/d/1sWhkfWKlM8R1sfXhPHz32qcwY2J-6Ge3/view?usp=sharing,https://drive.google.com/file/d/10QC56RRkOWISauOfnqyQVFOZ8s1uizZR/view?usp=sharing,https://drive.google.com/file/d/1FfThr5-8_6-O3oWyo6auvjw7znxOVUxV/view?usp=sharing,,,,,
PTY00036,Tribatat Real Estate,Ambiance Heights II,Lagos,Sangotedo,Detached + BQ,4,4,40,75000000,,"Modern elevator, 24hrs power, water supply, stylish design, kids play ground, swimming pool, gym house",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1JlscJcv2iIMRk2HjeCpxYruvX-77EtI3/view?usp=sharing,https://drive.google.com/file/d/1GJQys5dVEFhAvQjmz3oXTGR7-wqYtXyA/view?usp=sharing,https://drive.google.com/file/d/1mnmQ5qahYLS6zPuOs7UA8RjASGBRag7t/view?usp=sharing,https://drive.google.com/file/d/1i6wWqTpuBof-4mFWDZhoyn0-7Ho4U1uY/view?usp=sharing,https://drive.google.com/file/d/1GZEVeImsjXflxL2kkgRkVond78Wu9e04/view?usp=sharing,,,,,
PTY00037,Tribatat Real Estate,Pearl Residences,Lagos,Abijo GRA,Apartment + BQ,2,2,60,35000000,,"24hrs security, swimming pool, CCTv, shopping complex, sports corridors, water treatment plant, gated house & perimeter fence, street lights",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1Vk-nluYOZekg-8FSFqfMQq9liw6l3wZn/view?usp=sharing,https://drive.google.com/file/d/1nhdN-FWmHJ90k5uWqlHi1E11RitblWOX/view?usp=sharing,https://drive.google.com/file/d/1wt4XJPIShFzWex7m8jA3sHt7z7BsOerT/view?usp=sharing,https://drive.google.com/file/d/1EOpYDB0znZq7GMUkbWhdt2mNv0l0_c2t/view?usp=sharing,https://drive.google.com/file/d/1nhdN-FWmHJ90k5uWqlHi1E11RitblWOX/view?usp=sharing,,,,,
PTY00039,PWAN STARS,The Edifice,Lagos,Sangotedo,Apartment,2,2,8,28000000,,"24hrs security, gym, children's playground, green area, external doors",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1AwxXAmBc1vXfH3-d8V2lgUx5Tw5tmGrj/view?usp=sharing,https://drive.google.com/file/d/1JMTRBNKFNRCF6G38WcVG1gwoqvJ1s2al/view?usp=sharing,https://drive.google.com/file/d/1UO1RJWeym-mRdzFq-qeJCz2NwU4lVba8/view?usp=sharing,https://drive.google.com/file/d/1OzMZa7QA0EkEWx5XobbTH_q3O9QrcKsC/view?usp=sharing,https://drive.google.com/file/d/1uGJogrH83AI1lKIHIm2Bveb8CbfEIyYG/view?usp=sharing,https://drive.google.com/file/d/1sJMaZhvcrDlRL3YyLz4bURFhzclc6SDo/view?usp=sharing,https://drive.google.com/file/d/10WguTaZt7JnTP7lEosrDgWmUFxzXxI3K/view?usp=sharing,https://drive.google.com/file/d/18CmWedxBxqrGx6KPLm4-xlr_H5BzvazB/view?usp=sharing,https://drive.google.com/file/d/1i_x6oeaWQhlT3g2olmP_PleQ1Ry3_PnG/view?usp=sharing,https://drive.google.com/file/d/1i_x6oeaWQhlT3g2olmP_PleQ1Ry3_PnG/view?usp=sharing
PTY00042,PWAN STARS,The Cynosure,Lagos,Sangotedo,Apartment,2,2,16,28000000,,"Smart house, gym, Elevator, 24hrs wifi access, Green area, children's plauground",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1tljQnlzQ1bQNoPwFKuMuCnTcoHyoM1QX/view?usp=sharing,https://drive.google.com/file/d/1MmHN3WMTN6ZR5m7SC3vK1UqYYe0Do_PG/view?usp=sharing,https://drive.google.com/file/d/1ydEm9Pk3D1lPbRBBab3Sti8Y7LMfT1fS/view?usp=sharing,https://drive.google.com/file/d/14I2UZjaFfDc_Z6vmpQDVIaOUIRoqpgLs/view?usp=sharing,https://drive.google.com/file/d/1gAaY2d3BPhPOulPx_JhzP3d_SXd1Ata7/view?usp=sharing,https://drive.google.com/file/d/12l6zHpiHfSFQVmSZyCWClIQ7qCGYifdO/view?usp=sharing,https://drive.google.com/file/d/1f8uHOrF70iDb_S6rmdrmuoFe9_RqPZ0N/view?usp=sharing,,,
